"time"	"n.risk"	"n.event"	"n.censored"
0.194712	257	0	0
0.584135	257	1	0
1.29808	256	0	0
1.55769	256	3	0
1.81731	253	1	0
2.07692	252	2	0
2.40144	250	1	0
2.46635	249	1	0
2.59615	248	1	0
2.85577	247	2	0
3.11538	245	0	2
3.24519	243	0	3
3.375	240	2	5
3.63462	233	1	6
3.89423	226	0	2
4.02404	224	1	3
4.15385	220	2	4
4.34856	214	0	7
4.67308	207	0	3
4.80288	204	1	4
4.9976	199	1	3
5.1274	195	1	2
5.25721	192	1	2
5.32212	189	1	1
5.38702	187	1	4
5.58173	182	1	7
5.90625	174	0	1
5.97115	173	1	1
6.03606	171	2	2
6.16587	167	1	1
6.23077	165	2	3
6.36058	160	0	2
6.49038	158	2	1
6.55529	155	1	4
6.75	150	3	7
7.13942	140	2	4
7.33413	134	2	3
7.52885	129	1	3
7.65865	125	2	6
7.98317	117	4	5
8.24279	108	2	3
8.4375	103	1	5
8.69712	97	1	4
8.89183	92	2	4
9.15144	86	1	1
9.34615	84	0	5
9.80048	79	0	3
10.0601	76	1	2
10.3197	73	1	2
10.5144	70	1	4
10.8389	65	0	3
11.0986	62	0	2
11.2933	60	0	3
11.6178	57	0	3
11.8774	54	1	1
12.0721	52	1	1
12.3966	50	0	1
12.6563	49	1	1
12.7861	47	0	1
12.9808	46	1	0
13.0457	45	1	1
13.1755	43	0	0
13.2404	43	0	1
13.4351	42	1	2
13.8245	39	0	1
14.0192	38	1	2
14.2788	35	1	2
14.6683	32	0	1
14.863	31	0	0
15.0577	31	1	0
15.1226	30	1	0
15.3822	29	1	2
15.8365	26	0	1
16.4207	25	0	1
16.7452	24	0	0
16.875	24	1	0
16.9399	23	1	1
17.1346	21	0	1
17.4591	20	0	1
17.9135	19	0	1
18.4976	18	0	2
19.0168	16	0	4
19.6659	12	0	3
20.4447	9	0	3
20.899	6	0	2
21.4183	4	0	1
21.9375	3	0	1
22.5216	2	0	1
23.1707	1	0	1
23.6899	0	0	0
23.8846	0	0	0
24	0	0	0
