"time"	"n.risk"	"n.event"	"n.censored"
0.19951	298	0	0
0.599755	298	3	0
0.80049	295	1	1
1.59976	293	0	0
1.80049	293	0	0
2	293	0	0
2.19951	293	1	0
2.40024	292	1	0
2.59976	291	0	0
2.80049	291	0	0
3	291	4	0
3.19951	287	0	0
3.40024	287	1	0
3.59976	286	0	0
3.80049	286	1	0
4	285	0	0
4.19951	285	5	1
4.40024	279	2	1
4.59976	276	2	0
4.80049	274	2	1
5	271	1	1
5.19951	269	0	0
5.40024	269	2	1
5.59976	266	4	1
5.80049	261	1	0
6	260	1	1
6.19951	258	3	2
6.40024	253	3	1
6.59976	249	7	2
6.80049	240	3	1
7	236	0	1
7.19951	235	2	2
7.40024	231	4	1
7.59976	226	2	2
7.80049	222	3	1
8	218	3	1
8.19951	214	3	2
8.40024	209	3	2
8.59976	204	3	2
8.80049	199	0	2
9	197	0	2
9.19951	195	0	2
9.40024	193	3	2
9.59976	188	3	2
9.80049	183	2	1
10	180	2	3
10.1995	175	4	3
10.4002	168	5	3
10.5998	160	3	3
10.8005	154	1	4
11	149	1	3
11.1995	145	1	3
11.4002	141	2	3
11.5998	136	1	3
11.8005	132	1	3
12	128	3	2
12.1995	123	1	3
12.4002	119	6	2
12.5998	111	1	3
12.8005	107	3	2
13	102	1	2
13.1995	99	0	3
13.4002	96	0	2
13.5998	94	0	3
13.8005	91	0	2
14	89	0	2
14.1995	87	2	3
14.4002	82	2	3
14.5998	77	2	2
14.8005	73	0	3
15	70	0	3
15.1995	67	2	2
15.4002	63	1	3
15.5998	59	1	3
15.8005	55	2	2
16	51	1	1
16.1995	49	0	2
16.4002	47	1	1
16.5998	45	1	2
16.8005	42	0	1
17	41	0	1
17.1995	40	0	2
17.4002	38	1	1
17.5998	36	0	2
17.8005	34	0	0
18	33	0	0
