Study,Treatment,logHR,std.err
ESCORT1,che,NA,NA
ESCORT1,cam_plus_che,-0.356674944,0.115302327
CheckMate648,che,NA,NA
CheckMate648,niv_plus_che,-0.301105093,0.12854724
KEYNOTE590,che,NA,NA
KEYNOTE590,pem_plus_che,-0.314710745,0.083472681
ORIENT15,che,NA,NA
ORIENT15,sin_plus_che,-0.46203546,0.10838857
Jupiter06,che,NA,NA
Jupiter06,tor_plus_che,-0.544727175,0.151915487
RATIONALE306,che,NA,NA
RATIONALE306,tis_plus_che,-0.415515444,0.100265966
