Study,Treatment,logHR,std.err
ESCORT1,che,NA,NA
ESCORT1,cam_plus_che,-0.579818495,0.099710793
CheckMate648,che,NA,NA
CheckMate648,niv_plus_che,-0.210721031,0.123854035
KEYNOTE590,che,NA,NA
KEYNOTE590,pem_plus_che,-0.430782916,0.08250004
ORIENT15,che,NA,NA
ORIENT15,sin_plus_che,-0.579818495,0.099710793
Jupiter06,che,NA,NA
Jupiter06,tor_plus_che,-0.544727175,0.121281555
RATIONALE306,che,NA,NA
RATIONALE306,tis_plus_che,-0.478035801,0.093429693
