"time"	"n.risk"	"n.event"	"n.censored"
0.103067	321	0	0
0.463804	321	3	1
0.669939	317	1	1
1.23681	315	4	1
1.54601	310	3	1
2.16442	306	1	1
2.57669	304	4	1
2.88589	299	6	0
3.09202	293	1	0
3.50429	292	4	0
3.91656	288	5	0
4.1227	283	7	0
4.38037	276	3	1
4.79264	272	6	0
5.25644	266	6	0
5.56564	260	2	0
5.97791	258	5	0
6.23558	253	4	1
6.59632	248	5	2
7.00859	241	3	1
7.36933	237	8	2
7.62699	227	4	0
7.83313	223	3	2
8.14233	218	4	2
8.5546	212	3	1
8.81227	208	5	0
9.0184	203	6	0
9.37914	197	5	0
9.63681	192	5	1
10.1006	186	5	0
10.5129	181	5	1
10.719	175	2	0
11.1313	173	7	1
11.6466	165	2	0
12.0589	163	8	1
12.4712	154	4	1
13.0896	149	3	1
13.4503	145	3	2
13.9141	140	2	1
14.3264	137	1	1
14.6871	135	2	0
14.9963	133	1	2
15.3571	130	3	1
15.5117	126	2	1
15.6663	123	3	3
16.0785	117	1	2
16.3362	114	4	2
16.6969	108	2	4
17.2123	102	1	2
17.573	99	3	3
17.9337	93	0	1
18.1914	92	1	2
18.6037	89	1	3
19.119	85	1	2
19.4798	82	3	2
19.7374	77	2	2
20.0466	73	1	1
20.1497	71	0	1
20.4589	70	2	2
20.7166	66	2	4
21.438	60	0	1
21.6442	59	0	1
21.7472	58	0	1
21.9534	57	2	3
22.3656	52	1	2
22.7264	49	0	1
22.8294	48	0	0
22.881	48	0	2
23.1902	46	0	1
23.3448	45	0	2
23.6025	43	0	2
23.9117	41	0	1
24.1693	40	1	2
24.6847	37	0	1
25.0454	36	2	1
25.3031	33	0	1
25.5607	32	0	1
25.973	31	0	2
26.3853	29	0	1
26.6945	28	1	1
27.0037	26	0	1
27.4675	25	0	1
27.6736	24	0	1
27.8282	23	1	1
28.2405	21	0	1
28.4466	20	1	2
29.065	17	0	2
29.3742	15	1	1
29.735	13	0	1
30.0957	12	1	1
30.611	10	0	0
30.9202	10	0	1
31.1264	9	1	1
31.7448	7	0	2
32.3117	5	0	1
33.0331	4	0	0
33.3939	4	0	1
33.8577	3	0	0
34.3215	3	0	1
34.9399	2	0	1
35.6098	1	0	0
35.919	1	0	0
35.9706	1	0	0
36.0221	1	0	0
36.0736	1	0	0
36.5374	1	0	0
37.1043	1	0	0
37.6196	1	0	0
38.2896	1	0	0
39.011	1	0	0
39.7325	1	0	0
39.9387	1	0	0
42	0	0	0
