"time"	"n.risk"	"n.event"	"n.censored"
0.309115	321	0	0
0.35491	321	4	4
0.692646	313	2	3
1.00749	308	3	2
1.21929	303	6	2
1.34522	295	6	0
1.39102	289	7	1
1.44254	281	7	2
1.59137	272	5	2
1.83752	265	5	4
2.14091	256	3	3
2.43285	250	4	2
2.63893	244	5	1
2.75341	238	6	1
2.81066	231	7	1
2.87935	223	6	1
3.05108	216	5	1
3.35447	210	4	1
3.72083	205	3	1
4.01849	201	3	1
4.22457	197	6	0
4.32761	191	12	1
4.48789	178	3	1
4.77983	174	4	1
5.12902	169	3	1
5.40951	165	10	1
5.5011	154	5	0
5.66711	149	6	1
5.90181	142	5	1
6.22809	136	3	1
6.57155	132	3	1
6.82915	128	4	1
7.02378	123	5	1
7.2413	117	5	1
7.53325	111	4	1
7.8996	106	2	2
8.22589	102	5	0
8.30031	97	5	1
8.45487	91	5	1
8.7697	85	3	1
9.14751	81	2	0
9.47952	79	3	1
9.73712	75	4	1
10.0004	70	4	1
10.4069	65	0	0
10.7389	65	3	1
11.0766	61	3	1
11.2827	57	2	1
11.6147	54	1	0
11.9982	53	0	1
12.3875	52	1	1
12.7653	50	2	1
13.0859	47	0	1
13.4465	46	0	1
13.8071	45	2	1
13.9674	42	3	1
14.3738	38	1	1
14.786	36	0	1
15.1982	35	0	1
15.616	34	0	1
16.0167	33	0	2
16.3774	31	2	1
16.6693	28	2	1
16.8697	25	3	1
17.2017	21	1	1
17.5623	19	0	1
17.9401	18	0	0
18.3179	18	1	0
18.7129	17	0	1
19.1136	16	0	0
19.5258	16	0	1
19.9322	15	0	0
20.3329	15	1	1
20.7336	13	0	0
21.1458	13	0	0
21.5579	13	0	1
21.9643	12	0	0
22.3708	12	0	1
22.7829	11	0	0
23.1951	11	0	1
23.6129	10	0	0
23.9106	10	0	0
24.0194	10	0	0
24.3228	10	0	1
24.7292	9	0	0
25.1413	9	0	1
25.5478	8	0	0
25.897	8	0	1
26.3492	7	0	1
26.7613	6	0	0
27.1735	6	0	0
27.5856	6	0	1
27.9978	5	0	0
28.41	5	0	1
28.8221	4	0	0
29.2343	4	0	1
29.6464	3	0	0
30.0586	3	0	0
30.4707	3	0	0
30.8829	3	0	0
31.295	3	0	1
31.7072	2	0	0
32.1193	2	0	0
32.5315	2	0	0
32.9436	2	0	0
33.3558	2	0	0
33.7679	2	0	0
34.1801	2	0	1
34.5923	1	0	0
35.0044	1	0	0
35.4166	1	0	0
35.6112	1	0	0
35.8287	1	0	0
35.9604	1	0	0
36.0062	1	0	0
36.1664	1	0	0
36.5786	1	0	0
36.9908	1	0	0
37.4029	1	0	1
37.8265	0	0	0
38.2272	0	0	0
38.5363	0	0	0
38.8454	0	0	0
39	0	0	0
