"time"	"n.risk"	"n.event"	"n.censored"
0.117073	257	0	2
0.409756	255	3	3
0.702439	249	1	2
0.819512	246	0	1
0.995122	245	1	3
1.22927	241	0	0
1.2878	241	5	1
1.34634	235	5	0
1.40488	230	7	1
1.46341	222	10	1
1.58049	211	3	1
1.69756	207	2	2
1.81463	203	3	3
2.10732	197	0	0
2.16585	197	1	2
2.34146	194	1	2
2.51707	191	0	1
2.63415	190	3	1
2.75122	186	3	1
2.80976	182	8	0
2.86829	174	1	1
2.98537	172	1	1
3.10244	170	2	1
3.21951	167	1	4
3.45366	162	0	4
3.6878	158	0	1
3.80488	157	2	2
3.92195	153	1	1
3.98049	151	1	1
4.03902	149	1	1
4.09756	147	3	1
4.1561	143	3	2
4.27317	138	4	1
4.33171	133	5	0
4.39024	128	6	2
4.50732	120	3	1
4.56585	116	2	5
4.85854	109	1	2
5.03415	106	0	2
5.15122	104	2	2
5.26829	100	1	2
5.38537	97	1	1
5.4439	95	4	1
5.50244	90	5	1
5.56098	84	6	0
5.61951	78	10	1
5.67805	67	8	1
5.73659	58	4	1
5.79512	53	3	1
5.85366	49	2	5
6.20488	42	0	0
6.32195	42	0	1
6.43902	41	1	1
6.67317	39	0	0
6.73171	39	2	0
6.84878	37	2	1
6.96585	34	3	0
7.02439	31	4	1
7.08293	26	1	0
7.14146	25	2	1
7.31707	22	1	0
7.49268	21	0	1
7.60976	20	1	1
7.90244	18	0	1
8.13659	17	0	1
8.25366	16	1	1
8.37073	14	1	0
8.42927	13	1	1
8.60488	11	1	1
9.01463	9	0	0
9.13171	9	1	0
9.65854	8	0	0
9.71707	8	2	0
9.77561	6	0	0
9.83415	6	1	0
9.95122	5	0	0
10.0683	5	1	1
10.9463	3	0	0
11.5902	3	0	0
11.8244	3	0	0
12.2341	3	0	0
12.4098	3	0	0
12.4683	3	1	0
12.761	2	0	0
13.5805	2	0	0
13.8732	2	0	0
14.2829	2	0	0
14.8098	2	0	0
15.6878	2	0	0
16.0976	2	0	0
16.8	2	0	1
17.1512	1	0	0
17.6195	1	0	0
17.9707	1	0	0
18.439	1	0	0
19.0244	1	0	0
19.2585	1	0	0
21	0	0	0
