"time"	"n.risk"	"n.event"	"n.censored"
0	298	0	2
0.19951	296	0	3
0.400245	293	0	2
0.599755	291	1	3
0.80049	287	1	2
1	284	1	2
1.19951	281	1	3
1.40024	277	19	2
1.59976	256	6	3
1.80049	247	4	2
2	241	1	1
2.19951	239	0	1
2.40024	238	1	1
2.59976	236	7	1
2.80049	228	11	2
3	215	6	1
3.19951	208	2	1
3.40024	205	3	1
3.59976	201	3	1
3.80049	197	0	1
4	196	3	2
4.19951	191	10	2
4.40024	179	7	2
4.59976	170	7	2
4.80049	161	3	2
5	156	4	2
5.19951	150	2	2
5.40024	146	14	2
5.59976	130	15	2
5.80049	113	18	2
6	93	1	0
6.19951	92	2	0
6.40024	90	1	0
6.59976	89	3	1
6.80049	85	7	0
7	78	23	0
7.19951	55	7	1
7.40024	47	1	0
7.59976	46	0	0
7.80049	46	1	0
8	45	0	0
8.19951	45	5	1
8.40024	39	4	1
8.59976	34	2	1
8.80049	31	1	1
9	29	0	1
9.19951	28	1	1
9.40024	26	0	1
9.59976	25	1	1
9.80049	23	1	0
10	22	3	0
10.1995	19	1	0
10.4002	18	0	1
10.5998	17	1	0
10.8005	16	0	1
11	15	2	0
11.1995	13	2	0
11.4002	11	1	1
11.5998	9	1	0
11.8005	8	0	0
12	8	0	0
12.1995	8	0	0
12.4002	8	0	1
12.5998	7	0	0
12.8005	7	0	1
13	6	0	0
13.1995	6	0	0
13.4002	6	0	1
13.5998	5	0	0
13.8005	5	0	0
14	5	1	0
14.1995	4	0	0
14.4002	4	1	0
14.5998	3	0	0
14.8005	3	0	1
15	2	0	0
15.1995	2	0	0
15.4002	2	0	0
15.5998	2	0	0
15.8005	2	0	0
16	2	0	0
16.1995	2	0	0
16.4002	2	0	0
16.5998	2	0	1
16.8005	1	0	0
18	0	0	0
