"time"	"n.risk"	"n.event"	"n.censored"
0.101695	373	0	1
0.305085	372	6	1
0.508475	365	2	3
0.915254	360	4	3
1.32203	353	4	1
1.52542	348	6	2
1.83051	340	0	1
1.9322	339	10	1
2.0339	328	10	0
2.13559	318	12	2
2.33898	304	5	2
2.64407	297	6	2
3.05085	289	0	0
3.25424	289	6	0
3.66102	283	2	0
3.86441	281	2	0
3.9661	279	13	0
4.0678	266	10	0
4.16949	256	8	0
4.27119	248	7	0
4.37288	241	6	0
4.77966	235	0	0
5.08475	235	4	0
5.28814	231	4	0
5.59322	227	6	0
5.79661	221	3	0
5.89831	218	10	0
6.10169	208	8	0
6.20339	200	17	1
6.40678	182	15	1
6.71186	166	10	1
7.11864	155	6	1
7.52542	148	3	2
7.9322	143	6	0
8.0339	137	9	0
8.13559	128	9	1
8.23729	118	8	0
8.44068	110	5	1
8.74576	104	6	2
9.35593	96	0	0
9.9661	96	0	0
10.2712	96	3	0
10.4746	93	9	1
10.9831	83	0	0
11.3898	83	2	0
11.6949	81	2	0
12.4068	79	7	1
13.1186	71	0	3
13.9322	68	1	1
14.339	66	0	0
14.5424	66	10	1
14.9492	55	4	0
15.661	51	0	1
16.1695	50	1	0
16.4746	49	2	0
16.8814	47	1	1
17.5932	45	0	0
18.1017	45	0	2
18.8136	43	0	2
19.2203	41	3	2
19.7288	36	0	1
20.1356	35	3	2
20.5424	30	0	1
20.9492	29	3	1
21.3559	25	0	1
21.8644	24	0	3
22.678	21	0	2
23.2881	19	0	1
23.6949	18	0	1
24	17	2	1
24.4068	14	0	1
24.8136	13	0	1
25.0169	12	2	1
25.5254	9	0	2
26.2373	7	0	2
26.7458	5	0	1
27.3559	4	0	0
28.2712	4	0	0
28.8814	4	0	0
28.9831	4	2	0
29.8983	2	0	0
30.8136	2	0	2
32.0339	0	0	0
32.8475	0	0	0
33	0	0	0
