"time"	"n.risk"	"n.event"	"n.censored"
0.0518135	332	0	4
0.310881	328	0	4
0.569948	324	2	1
0.673575	321	1	4
0.880829	316	0	1
0.984456	315	5	3
1.1399	307	1	2
1.29534	304	3	2
1.39896	299	6	1
1.45078	292	6	1
1.50259	285	5	5
1.81347	275	6	1
1.9171	268	1	3
2.12435	264	3	3
2.27979	258	3	3
2.48705	252	3	4
2.6943	245	1	1
2.79793	243	7	1
2.84974	235	6	1
2.90155	228	8	1
3.00518	219	3	0
3.10881	216	2	0
3.26425	214	2	1
3.41969	211	1	0
3.52332	210	3	1
3.78238	206	0	0
3.8342	206	3	0
4.04145	203	6	0
4.09326	197	6	1
4.14508	190	7	0
4.35233	183	10	0
4.45596	173	2	1
4.71503	170	4	0
4.81865	166	0	1
5.12953	165	2	0
5.23316	163	3	1
5.44041	159	5	0
5.54404	154	6	1
5.64767	147	8	0
5.69948	139	2	0
5.90674	137	4	0
6.01036	133	1	0
6.21762	132	3	0
6.42487	129	3	1
6.58031	125	2	0
6.78756	123	3	0
6.89119	120	8	0
6.99482	112	1	1
7.09845	110	8	0
7.15026	102	4	0
7.35751	98	2	0
7.56477	96	2	1
7.72021	93	1	0
7.97927	92	0	0
8.03109	92	1	1
8.18653	90	4	0
8.23834	86	4	0
8.29016	82	1	0
8.4456	81	5	0
8.49741	76	3	1
8.75648	72	5	0
8.8601	67	2	0
9.2228	65	0	1
9.53368	64	0	1
9.63731	63	5	0
9.68912	58	2	1
9.74093	55	3	0
9.84456	52	3	1
10	48	3	2
10.2591	43	2	1
10.4145	40	1	1
10.7254	38	0	2
10.9326	36	3	1
11.1399	32	0	1
11.2953	31	0	1
11.4508	30	2	1
11.7617	27	0	1
11.9171	26	0	2
12.2798	24	1	0
12.5389	23	0	1
12.9016	22	0	0
13.0052	22	0	1
13.3679	21	2	0
13.5751	19	0	0
13.7824	19	3	0
13.8342	16	1	1
14.1969	14	1	0
14.4041	13	0	1
14.715	12	0	0
14.9741	12	0	0
15.3886	12	1	0
15.4922	11	0	1
15.8031	10	0	0
16.0104	10	0	1
16.4249	9	0	0
16.5803	9	0	0
16.6839	9	1	0
16.8394	8	1	1
16.9948	6	0	0
17.3575	6	0	0
17.5648	6	0	1
17.9793	5	0	0
18.2383	5	0	0
18.601	5	0	0
18.8083	5	0	1
19.3264	4	0	0
19.5337	4	0	0
19.7409	4	0	0
20	4	0	1
20.3627	3	0	0
20.6218	3	0	0
20.9326	3	0	0
21.1399	3	0	0
21.5026	3	0	0
21.8135	3	0	1
22.1244	2	0	0
22.3316	2	0	0
22.6943	2	0	0
23.057	2	0	1
23.4715	1	0	0
24.0933	1	0	0
24.2487	1	0	0
27	0	0	0
