"time"	"n.risk"	"n.event"	"n.censored"
0.2	332	0	1
0.4	331	2	1
0.6	328	1	1
0.8	326	1	1
1	324	0	2
1.2	322	0	1
1.4	321	0	1
1.6	320	0	1
1.8	319	2	1
2	316	1	2
2.2	313	2	1
2.4	310	1	1
2.6	308	0	1
2.8	307	2	1
3	304	3	1
3.2	300	1	1
3.4	298	0	2
3.6	296	2	1
3.8	293	0	2
4	291	3	1
4.2	287	1	2
4.4	284	3	1
4.6	280	2	2
4.8	276	2	1
5	273	1	2
5.2	270	1	1
5.4	268	1	2
5.6	265	1	1
5.8	263	1	2
6	260	1	1
6.2	258	2	1
6.4	255	2	2
6.6	251	2	1
6.8	248	1	2
7	245	1	2
7.2	242	3	1
7.4	238	6	2
7.6	230	1	1
7.8	228	2	2
8	224	1	2
8.2	221	4	1
8.4	216	2	2
8.6	212	1	1
8.8	210	1	2
9	207	4	1
9.2	202	3	3
9.4	196	2	3
9.6	191	3	3
9.8	185	3	3
10	179	2	3
10.2	174	3	3
10.4	168	3	3
10.6	162	4	3
10.8	155	0	3
11	152	1	3
11.2	148	2	3
11.4	143	2	3
11.6	138	1	3
11.8	134	2	3
12	129	0	2
12.2	127	1	4
12.4	122	2	5
12.6	115	1	5
12.8	109	0	4
13	105	1	5
13.2	99	1	5
13.4	93	1	5
13.6	87	2	4
13.8	81	1	5
14	75	1	5
14.2	69	0	5
14.4	64	0	4
14.6	60	1	5
14.8	54	0	5
15	49	0	4
15.2	45	1	1
15.4	43	0	2
15.6	41	1	1
15.8	39	0	2
16	37	0	2
16.2	35	1	1
16.4	33	1	2
16.6	30	0	1
16.8	29	1	2
17	26	0	2
17.2	24	0	1
17.4	23	0	2
17.6	21	0	1
17.8	20	0	2
18	18	0	1
18.2	17	0	0
18.4	17	1	1
18.6	15	0	1
18.8	14	0	0
19	14	0	1
19.2	13	0	1
19.4	12	0	0
19.6	12	0	1
19.8	11	1	1
20	9	0	0
20.2	9	0	1
20.4	8	0	1
20.6	7	0	0
20.8	7	0	1
21	6	0	0
21.2	6	0	0
21.4	6	0	0
21.6	6	0	1
21.8	5	0	0
22	5	0	1
22.2	4	0	0
22.4	4	0	1
22.6	3	0	0
22.8	3	0	1
23	2	0	0
23.2	2	0	1
23.4	1	0	0
23.6	1	0	1
23.8	0	0	0
24	0	0	0
24.2	0	0	0
24.4	0	0	0
24.6	0	0	0
24.8	0	0	0
25	0	0	0
25.2	0	0	0
25.4	0	0	0
25.6	0	0	0
25.8	0	0	0
26	0	0	0
26.2	0	0	0
26.4	0	0	0
26.6	0	0	0
26.8	0	0	0
27	0	0	0
