"time"	"n.risk"	"n.event"	"n.censored"
0.429379	371	0	0
1.19774	371	11	1
1.9548	359	6	0
2.72316	353	5	0
3.38983	348	9	0
3.9661	339	11	0
4.51977	328	11	0
5.12994	317	11	0
5.75141	306	11	0
6.32768	295	11	0
6.85876	284	12	1
7.40113	271	12	1
8	258	11	1
8.62147	246	10	1
9.22034	235	11	0
9.78531	224	11	0
10.3616	213	12	0
10.9944	201	9	0
11.7062	192	8	0
12.4633	184	6	1
13.209	177	6	2
13.9209	169	7	1
14.6102	161	9	1
15.322	151	7	3
16.0791	141	4	3
16.8475	134	5	3
17.6158	126	5	3
18.3729	118	4	9
19.1525	105	4	9
19.9322	92	3	9
20.7006	80	4	8
21.4689	68	2	9
22.2599	57	1	10
23.0734	46	1	9
23.8644	36	1	3
24.6215	32	2	4
25.3672	26	1	4
26.1469	21	1	3
26.9266	17	1	1
27.7062	15	0	2
28.4972	13	1	2
29.0847	10	0	1
29.5932	9	0	2
30.6102	7	0	3
32.1356	4	0	1
32.8475	3	0	1
33.4576	2	0	0
36	0	0	0
